case_id,variant,label,role,p_min_mpa,p_max_mpa,xv_max,alpha_max,c_min_m_s,inventory_final,inventory_max,inventory_units,inventory_label,active_length_final_m,active_length_max_m,first_visible_time_s,visible_cell_count_max,visible_cell_count_final
Case A,hem,HEM instantaneous equilibrium,equilibrium upper-side comparison,2.05,2.6895813927385417,0.000863179219030869,0.0011464700908463525,747.6886765030133,0.6589148906641401,0.9544938991881717,kg vapor,vapor mass,50.0,50.0,0.04147335716637937,8,8
Case A,hne_tau050,HNE delayed relaxation tau=0.50 s,main comparison,2.05,2.689577433401556,0.00011221622860579629,0.00014908177834651283,749.6992942551882,0.3016099895466718,0.3016099895466718,kg vapor,vapor mass,168.75,168.75,0.062210228444507805,27,27
Case A,dvcm_legacy,DVCM legacy cavity-volume proxy,legacy comparison only,2.05,2.6895380539524143,0.00021336668233999618,0.00028345300615409473,750.0,0.0002328822503028031,0.0003373760038424953,m3 cavity proxy,cavity volume proxy,50.0,50.0,0.04147335716637937,8,8
