case_id,variant,label,role,p_min_mpa,p_max_mpa,xv_max,alpha_max,c_min_m_s,inventory_final,inventory_max,inventory_units,inventory_label,active_length_final_m,active_length_max_m,first_visible_time_s,visible_cell_count_max,visible_cell_count_final
Case D,hem,HEM instantaneous equilibrium,equilibrium upper-side comparison,2.1,3.127833710493951,0.023279464625384244,0.03069365680728217,689.0634165122656,121.92506822325318,121.92506822325318,kg vapor,vapor mass,700.0,706.25,0.02079176347201584,113,112
Case D,hne_tau050,HNE delayed relaxation tau=0.50 s,main comparison,2.1,3.1278319955819627,0.005617246236167574,0.007449164182939894,735.0303433472153,39.98029033967168,39.98029033967168,kg vapor,vapor mass,743.75,743.75,0.02079176347201584,119,119
Case D,dvcm_legacy,DVCM legacy cavity-volume proxy,legacy comparison only,2.1,3.127830874920127,0.0056157090178616444,0.0074471293955991405,750.0,0.04307711293441714,0.04307711293441714,m3 cavity proxy,cavity volume proxy,700.0,706.25,0.0,113,112
