case_id,variant,label,role,p_min_mpa,p_max_mpa,xv_max,alpha_max,c_min_m_s,inventory_final,inventory_max,inventory_units,inventory_label,active_length_final_m,active_length_max_m,first_visible_time_s,visible_cell_count_max,visible_cell_count_final
Case E,hem,HEM instantaneous equilibrium,equilibrium upper-side comparison,2.2,3.3229530999995274,0.025185841782841088,0.033186559468204445,684.2019393804975,97.63864185176455,97.63864185176455,kg vapor,vapor mass,700.0,700.0,0.02079176347201584,112,112
Case E,hne_tau050,HNE delayed relaxation tau=0.50 s,main comparison,2.2,3.3229530999995274,0.004559633694538552,0.00604873704302539,737.8358995939047,26.025906693505256,26.025906693505256,kg vapor,vapor mass,700.0,700.0,0.02079176347201584,112,112
Case E,dvcm_legacy,DVCM legacy cavity-volume proxy,legacy comparison only,2.2,3.3229530999995274,0.006040965301257864,0.008009955031821548,750.0,0.034495987136567256,0.034495987136567256,m3 cavity proxy,cavity volume proxy,700.0,700.0,0.0,112,112
